For Query: analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two dimensional shapes measures of circularity shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  R  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  N  	  0.286  	  0.400
08  	  N  	  0.250  	  0.400
09  	  N  	  0.222  	  0.400
10  	  N  	  0.200  	  0.400
11  	  N  	  0.182  	  0.400
12  	  R  	  0.250  	  0.600
13  	  N  	  0.231  	  0.600
14  	  N  	  0.214  	  0.600
15  	  N  	  0.200  	  0.600
16  	  R  	  0.250  	  0.800
17  	  N  	  0.235  	  0.800
18  	  N  	  0.222  	  0.800
19  	  N  	  0.211  	  0.800
20  	  N  	  0.200  	  0.800
21  	  N  	  0.190  	  0.800
22  	  N  	  0.182  	  0.800
23  	  N  	  0.174  	  0.800
24  	  N  	  0.167  	  0.800
25  	  N  	  0.160  	  0.800
26  	  N  	  0.154  	  0.800
27  	  N  	  0.148  	  0.800
28  	  N  	  0.143  	  0.800
29  	  N  	  0.138  	  0.800
30  	  N  	  0.133  	  0.800
31  	  N  	  0.129  	  0.800
32  	  N  	  0.125  	  0.800
33  	  N  	  0.121  	  0.800
34  	  R  	  0.147  	  1.000
35  	  N  	  0.143  	  1.000
36  	  N  	  0.139  	  1.000
37  	  N  	  0.135  	  1.000
38  	  N  	  0.132  	  1.000
39  	  N  	  0.128  	  1.000
40  	  N  	  0.125  	  1.000
41  	  R  	  0.146  	  1.000
42  	  N  	  0.143  	  1.000
43  	  N  	  0.140  	  1.000
44  	  N  	  0.136  	  1.000
45  	  N  	  0.133  	  1.000
46  	  N  	  0.130  	  1.000
47  	  N  	  0.128  	  1.000
48  	  N  	  0.125  	  1.000
49  	  N  	  0.122  	  1.000
50  	  N  	  0.120  	  1.000
51  	  N  	  0.118  	  1.000
52  	  N  	  0.115  	  1.000
53  	  N  	  0.113  	  1.000
54  	  N  	  0.111  	  1.000
55  	  N  	  0.109  	  1.000
56  	  N  	  0.107  	  1.000
57  	  N  	  0.105  	  1.000
58  	  N  	  0.103  	  1.000
59  	  N  	  0.102  	  1.000
60  	  N  	  0.100  	  1.000
61  	  N  	  0.098  	  1.000
62  	  R  	  0.113  	  1.000
63  	  N  	  0.111  	  1.000
64  	  N  	  0.109  	  1.000
65  	  N  	  0.108  	  1.000
66  	  N  	  0.106  	  1.000
67  	  N  	  0.104  	  1.000
68  	  N  	  0.103  	  1.000
69  	  N  	  0.101  	  1.000
70  	  N  	  0.100  	  1.000
71  	  N  	  0.099  	  1.000
72  	  N  	  0.097  	  1.000
73  	  N  	  0.096  	  1.000
74  	  N  	  0.095  	  1.000
75  	  N  	  0.093  	  1.000
76  	  N  	  0.092  	  1.000
77  	  N  	  0.091  	  1.000
78  	  N  	  0.090  	  1.000
79  	  N  	  0.089  	  1.000
80  	  N  	  0.087  	  1.000
81  	  N  	  0.086  	  1.000
82  	  N  	  0.085  	  1.000
83  	  N  	  0.084  	  1.000
84  	  N  	  0.083  	  1.000
85  	  R  	  0.094  	  1.000
86  	  N  	  0.093  	  1.000
87  	  N  	  0.092  	  1.000
88  	  R  	  0.102  	  1.000
89  	  N  	  0.101  	  1.000
90  	  N  	  0.100  	  1.000
91  	  N  	  0.099  	  1.000
92  	  N  	  0.098  	  1.000
93  	  N  	  0.097  	  1.000
94  	  N  	  0.096  	  1.000
95  	  N  	  0.095  	  1.000
96  	  N  	  0.094  	  1.000
97  	  N  	  0.093  	  1.000
98  	  N  	  0.092  	  1.000
99  	  N  	  0.091  	  1.000
100  	  R  	  0.100  	  1.000


Average precision = 0.1439851993216378

Average recall = 0.8740000000000001
